text,true_emotion,predicted_emotion
"At school, my classmate is with me at music class and he sang Hallelujah like, god, with my friend we were breathless.",fear,joy
That's an awful miss from Rooney.,fear,sadness
@hesham786 that's the spirit ,joy,joy
"@airtelindia have some issues with my broadband bill ,I am charged for the month before I signed up with airtel.. ",joy,anger
@Bluebelle89 @lsmith855 liking the optimism,joy,joy
Each day is what you make of it! #goals #challenges #business #goals #optimism #happy #success #photographer #photography #ThursdayThoughts,joy,joy
"If yiu don't respond .o an email within 7 days, you willxbe killed by an animated gif of the girl froa The Ri.g.",joy,fear
@chencouture LMAO Is it that 'so slutty' hater girl? That video was hilarious. 😂,joy,joy
4-2 Canada final tomorrow #WCH #Predictions #optimism #Canadian 🇨🇦,joy,joy
"If any trump supporters and Hillary haters wanna chirp some weak minded, pandering liberals just tweet at @EmmyA2 @snickerfritz04",joy,anger
"@theclobra lol I thought maybe, couldn't decide if there was levity or not",joy,joy
@billie21806 @cnnbrk tell that to your bodies cheering on the deaths of black people by cops. their fear is killing us.,joy,fear
Chris would take full responsibility and would want us all to rejoice in the memories we all had with him.,joy,joy
@tomlinmayniac starting my new challenge ! A glee poll every day !,joy,joy
Nawaz Sharif is getting more funnier than @kapilsharmak9 day by day.  #challenge #kashmir #baloch,joy,joy
"@Geminiak @LondonNPC you're welcome! #wordgeek \nAlso, good to put a face to the twitter feed, even if it was only a cheery hello! 😀",joy,joy
The smell of freshly cut grass didn't even cheer me up...boy oh boy,joy,sadness
"@Casper10666 I assure you there is no laughter, but increasing anger at the costs, and arrogance of Westminster.",joy,anger
I love my family so much #lucky #grateful #smartassfamily #hilarious #love,joy,joy
It feels good to get outside for a minute and get some fresh air.  It's hard to stay cooped up inside all day ,joy,joy
"This tweet is dedicated to my back pain, which I do not understand because I am youthful and spry. Full of life. Vivacious.",joy,sadness
So far ours greet have raised £250 for @HGatChristmas with more to come in #sparkling @CllrJohnFox @simoncotton69,joy,joy
you are on an endless journey of figuring yourself out; don't be discouraged when you don't know who you are yet.,sadness,sadness
"MC: what are you listen to these days?\nBogum: these days I feel gloomy, I listen to ccm (spiritual song) often.\n\nChurch oppa mode. :)",sadness,sadness
“Dyslexia is the affliction of a frozen genius.”― Stephen Richards,sadness,sadness
"@KeithOlbermann depressing how despicable Trump, with no policies, campaigning on bigotry &amp; rancour can be so close, evil immoral disaster",sadness,anger
Don't depress yourself by comparing yourself. No comparisons.,sadness,sadness
"@kempicepoland don't think he did, and he didn't have the rucksack or laptop in his possession, murky business, on that note I'm away to bed",sadness,sadness
and for inconsolable Oxford academics - 'Brussels should just ignore the #Brexit vote and tell the UK it can't leave the EU....ever....wah',sadness,anger
A .500 season is all I'm looking for at this point. #depressing #royals,sadness,sadness
Buddha doesn't possess enough power to deliver you from your affliction!,sadness,anger
"Before the year ends I'll probably get master 12s or flu games, true blues, and space jams.",sadness,joy
watching this uni reveal is so depressing i miss stingrays :(,sadness,sadness
amateur author Twitter might be the most depressing thing I've ever seen,sadness,sadness
Wow just watched Me Before You and it was seriously one of the most depressing movies of my life,sadness,sadness
aaahhhh! a little @OtisRedding to soothe the soul. #music ,sadness,joy
@abra @abra @abra what're you doing to my ears? To my soul?! #GoodMusic #melancholy,sadness,sadness
@1johndes ball watching &amp; Rojo'd header was equally dreadful!!,sadness,anger
All I want to do is watch some netflix but I am stuck here in class. #depressing,sadness,sadness
Soooo badly want to dye my hair dark but have never been dark before soooo torn 😭😭😭,sadness,sadness
If I had a little bit of extra money I would blow the whole paycheck and go to one of the two of @KygoMusic's concerts in LA. #serious,sadness,joy
@FFBren @CDCarter13 included for maximum #sadness,sadness,sadness
