text,true_emotion,predicted_emotion_base,predicted_emotion_1shot,status
"@Geminiak @LondonNPC you're welcome! #wordgeek \nAlso, good to put a face to the twitter feed, even if it was only a cheery hello! 😀",joy,joy,joy,no_change
The smell of freshly cut grass didn't even cheer me up...boy oh boy,joy,sadness,sadness,no_change
"@Casper10666 I assure you there is no laughter, but increasing anger at the costs, and arrogance of Westminster.",joy,anger,anger,no_change
I love my family so much #lucky #grateful #smartassfamily #hilarious #love,joy,joy,joy,no_change
It feels good to get outside for a minute and get some fresh air.  It's hard to stay cooped up inside all day ,joy,joy,joy,no_change
"This tweet is dedicated to my back pain, which I do not understand because I am youthful and spry. Full of life. Vivacious.",joy,sadness,joy,improved
So far ours greet have raised £250 for @HGatChristmas with more to come in #sparkling @CllrJohnFox @simoncotton69,joy,joy,joy,no_change
you are on an endless journey of figuring yourself out; don't be discouraged when you don't know who you are yet.,sadness,joy,joy,no_change
"MC: what are you listen to these days?\nBogum: these days I feel gloomy, I listen to ccm (spiritual song) often.\n\nChurch oppa mode. :)",sadness,joy,sadness,improved
“Dyslexia is the affliction of a frozen genius.”― Stephen Richards,sadness,sadness,sadness,no_change
"@KeithOlbermann depressing how despicable Trump, with no policies, campaigning on bigotry &amp; rancour can be so close, evil immoral disaster",sadness,anger,anger,no_change
Don't depress yourself by comparing yourself. No comparisons.,sadness,sadness,sadness,no_change
"@kempicepoland don't think he did, and he didn't have the rucksack or laptop in his possession, murky business, on that note I'm away to bed",sadness,sadness,sadness,no_change
and for inconsolable Oxford academics - 'Brussels should just ignore the #Brexit vote and tell the UK it can't leave the EU....ever....wah',sadness,anger,anger,no_change
A .500 season is all I'm looking for at this point. #depressing #royals,sadness,sadness,sadness,no_change
Buddha doesn't possess enough power to deliver you from your affliction!,sadness,anger,anger,no_change
"Before the year ends I'll probably get master 12s or flu games, true blues, and space jams.",sadness,joy,joy,no_change
watching this uni reveal is so depressing i miss stingrays :(,sadness,sadness,sadness,no_change
amateur author Twitter might be the most depressing thing I've ever seen,sadness,sadness,sadness,no_change
Wow just watched Me Before You and it was seriously one of the most depressing movies of my life,sadness,sadness,sadness,no_change
aaahhhh! a little @OtisRedding to soothe the soul. #music ,sadness,joy,joy,no_change
@abra @abra @abra what're you doing to my ears? To my soul?! #GoodMusic #melancholy,sadness,sadness,sadness,no_change
@1johndes ball watching &amp; Rojo'd header was equally dreadful!!,sadness,anger,anger,no_change
All I want to do is watch some netflix but I am stuck here in class. #depressing,sadness,sadness,sadness,no_change
Soooo badly want to dye my hair dark but have never been dark before soooo torn 😭😭😭,sadness,fear,fear,no_change
If I had a little bit of extra money I would blow the whole paycheck and go to one of the two of @KygoMusic's concerts in LA. #serious,sadness,joy,joy,no_change
@FFBren @CDCarter13 included for maximum #sadness,sadness,sadness,sadness,no_change
